Bedrooms,Carpet_Area,Total_Price,Per_Sqfoot,Location,Aminities
2,796,7164000,9000,Ravet,Kids Play Area
3,1045,9405000,9000,Punawale,Pet Park
4,1485,13365000,9000,Chinchwad,Sky Infinity Edge Pool
3,1266,11394000,9000,Tathawde,Mini Restaurant
2,832,7488000,9000,Wakad,Gymnasium
3,1108,9972000,9000,Tathawde,Palm Court
3,1133,10197000,9000,Ravet,Private Screening Arena
3,1200,10800000,9000,Ravet,Captivating Spa
4,1425,12112500,8500,Moshi,Sky Infinity Edge Pool
3,1029,9261000,9000,Ravet,Kids Play Area
3,1479,13311000,9000,Ravet,Gymnasium
3,1459,13131000,9000,Punawale,Mini Restaurant
2,1169,10521000,9000,Chinchwad,Sky Infinity Edge Pool
3,1467,13203000,9000,Moshi,Palm Court
4,1403,11925500,8500,Ravet,Pet Park
3,1267,11403000,9000,Tathawde,Sky Infinity Edge Pool
3,1028,9252000,9000,Wakad,Gymnasium
2,908,8172000,9000,Punawale,Sky Infinity Edge Pool
3,1292,11628000,9000,Ravet,Pet Park
3,1237,11133000,9000,Tathawde,Captivating Spa
3,1359,12231000,9000,Moshi,Pet Park
4,1063,9567000,9000,Wakad,Gymnasium
3,1305,11745000,9000,Moshi,Private Screening Arena
2,1181,10629000,9000,Tathawde,Captivating Spa
3,1182,10638000,9000,Wakad,Kids Play Area
3,908,8172000,9000,Moshi,Palm Court
3,1408,12672000,9000,Ravet,Kids Play Area
3,1420,12070000,8500,Chinchwad,Pet Park
2,876,7884000,9000,Ravet,Kids Play Area
2,908,8172000,9000,Chinchwad,Gymnasium
3,797,7173000,9000,Tathawde,Sky Infinity Edge Pool
4,1437,12933000,9000,Punawale,Palm Court
2,1015,9135000,9000,Ravet,Kids Play Area
4,1361,12249000,9000,Ravet,Kids Play Area
3,1020,9180000,9000,Ravet,Pet Park
3,1180,10620000,9000,Ravet,Sky Infinity Edge Pool
4,1198,10782000,9000,Wakad,Sky Infinity Edge Pool
4,1433,12897000,9000,Ravet,Kids Play Area
2,925,8325000,9000,Ravet,Gymnasium
4,848,7632000,9000,Ravet,Private Screening Arena
3,1479,12571500,8500,Moshi,Palm Court
2,1467,13203000,9000,Chinchwad,Kids Play Area
4,1211,10899000,9000,Moshi,Gymnasium
3,1042,9378000,9000,Ravet,Gymnasium
3,1234,11106000,9000,Ravet,Palm Court
3,998,8982000,9000,Tathawde,Sky Infinity Edge Pool
4,979,8321500,8500,Moshi,Gymnasium
3,918,8262000,9000,Tathawde,Private Screening Arena
4,1196,10764000,9000,Chinchwad,Gymnasium
2,1089,9256500,8500,Ravet,Gymnasium
3,1075,9675000,9000,Tathawde,Gymnasium
3,1405,12645000,9000,Moshi,Sky Infinity Edge Pool
3,993,8937000,9000,Chinchwad,Kids Play Area
3,1306,11754000,9000,Moshi,Gymnasium
